adwell {"v":["allure","attract"]}
fiends {"n":["Æsir","Vánir"]}
foes {"n":["Æsir","Vánir"]}
litey {"a":["attractive"]}
lead to {"v":["cause"]}
forother {"v":["affect","alter"]}
warm-hearted {"a":["affectionate","genial"]}
yep {"i":["aye"]}
swench {"v":["trouble"]}
adread {"a":["afraid","scared"]}
fightsome {"a":["aggressive","bellicose"]}
scather {"n":["aggressor","critic"]}
likeworthy {"a":["agreeable"]}
oneread {"a":["agreed","resolute","vehement"]}
grasslore {"n":["agrostology"]}
filst {"n":["aid","assistance"],"v":["aid","assist"]}
atstall {"n":["aid"]}
fultum {"n":["aid","help"]}
bestead {"v":["aid","help","serve"]}
loftship {"n":["airship","zeppelin"]}
sharp-witted {"a":["alert","intelligent"]}
rathe {"a":["alert","vigorous"]}
wakesome {"a":["alert","vigilant"]}
workrig {"n":["machine"]}
fayed {"a":["allied","united"]}
aleave {"v":["allow"]}
draw to {"v":["entice"]}
spane {"v":["allure"]}
duft {"n":["scent","perfume"]}
weved {"n":["altar"]}
wighbed {"n":["altar","shrine"]}
flite {"n":["brawl"],"v":["argue","contend"]}
andeven {"n":["amount","quantity"]}
snithe {"v":["amputate","lacerate"]}
fun and games {"n":["amusement","recreätion"]}
-en {"x":[],"n":[],"a":["replicate"]}
-ish {"x":["-an"],"n":["-ian"]}
unriddle {"v":["analyze","interpret"]}
onlight {"v":["illuminate"]}
onseek {"v":["analyze","require"]}
dwolm {"n":["chaos"]}
fore-elder {"n":["ancestor"]}
alder-father {"n":["ancestor","forefather"]}
strind {"n":["generation","lineage"]}
rotherer {"n":["aviator"]}
grame {"n":["anger","vexation"],"v":["vex"]}
wilder {"n":["animal"],"a":["savage"]}
fornaughting {"n":["destruction"]}
yeartide {"n":["season"]}
bemark {"v":["annotate","perceive","realize"],"n":["comment"]}
bemarking {"n":["annotation","commenting"]}
foreside {"n":["facade","face","front"]}
un- {"x":["anti-","de-","dis-","non-"]}
forethink {"v":["anticipate","plan"]}
withershins {"a":["anticlockwise","counterclockwise"],"r":["contrary"]}
withersmite {"a":["antiseptic","immune"],"n":["desinfectant"]}
sundered {"a":["apart","different","distinct"]}
shedded {"a":["separate"]}
samewise {"a":["equivalent","homogeneous"]}
unshild {"v":["apologise","excuse"]}
errander {"n":["apostle"]}
sendling {"n":["apostle","missionary"]}
libshop {"n":["pharmacy"]}
eyeshinely {"a":["apparent"],"r":["evidently"]}
clepe {"v":["nominate"],"n":["baptize"]}
atew {"v":["appear","manifest"]}
blee {"n":["color","tint"],"a":["azure"],"v":["color"]}
blindgut {"n":["cecum"]}
byfall {"n":["applause"]}
lay on {"v":["apply","cover","inflict"]}
aset {"v":["appoint"]}
nearing {"a":["approaching"]}
fish-farming {"n":["aquafarming"]}
highbred {"a":["aristocratic"],"n":["noble"]}
tellcraft {"n":["arithmetic","mathematics"]}
beweapon {"v":["arm","equip"]}
outrysting {"n":["arming","equipment"]}
beshield {"v":["shield","defend","protect"]}
thrim {"n":["majesty"]}
swetch {"n":["aroma","odour"]}
umb {"p":["around"],"i":["around"]}
umbe {"p":["around"],"i":["around"]}
stight {"v":["arrange","organize"]}
craftly {"a":["technical"]}
samen {"v":["assemble","compose"]}
foreset {"v":["ordain","propose","suggest"],"n":["obstacle","proposal","suggestion"]}
atstandand {"n":["attendant"]}
foreguess {"v":["assume","conjecture","presume"],"n":["conjecture"]}
huy {"v":["assume","meditate"]}
smigh {"v":["ponder"],"a":["sagacious"]}
starly {"a":["stellar"]}
glew {"a":["astute","prudent"],"v":["delight"]}
grith {"n":["peace","sanctuary"]}
ongripe {"n":["attack","charge"],"v":["charge"]}
infall {"n":["invasion"],"v":["attack"]}
fanding {"n":["attempt","experiment","trial"],"a":["experimental"]}
minting {"n":["coin"]}
cun {"v":["attempt","tempt"]}
thew {"n":["muscle","habit","policy"],"a":["custom"],"v":["serve"]}
theen {"n":["merit"],"v":["benefit"],"a":[]}
beshine {"v":["radiate"]}
besteady {"v":["stabilize"]}
instelling {"n":["attitude","conference","configuration"]}
ownship {"n":["attribute","quality","specialty"]}
stoor {"a":["severe"],"n":["sturgeon"]}
thriste {"a":["audacious","venturesome"]}
hearsome {"a":["audible"]}
freit {"n":["foretelling"]}
owndom {"n":["property"]}
elderdom {"n":["authority","government"]}
forecome {"v":["avert","avoid"]}
loftman {"n":["pilot"]}
trow {"v":["avow","believe"],"n":["comrade","faith","loyalty"]}
beleaning {"n":["restraint"]}
belean {"v":["restrain"]}
swail {"n":["firmament"]}
deemster {"n":["judge","magistrate"]}
evenweight {"n":["balance"]}
bright-line {"a":["bald","clear"]}
forset {"v":["bar","entrap","intercept","obstruct","overpower","overtax","surfeit","surround"],"n":["stratagem"]}
wode {"a":["barbarous"],"n":["rage"]}
athel {"n":["noble"]}
forsetting {"n":["barrier"]}
underpinning {"n":["base","basis"]}
hernstone {"n":["base","basis"]}
bestaddle {"v":["support"]}
in itself {"r":["essentially"]}
windle {"n":["basket"]}
dogling {"n":["doglet"]}
moon bear {"n":["battery bear","bile bear"]}
gouth {"n":["battle","combat","war"]}
bee's knees {"n":["creme de la creme","pip"]}
standout {"n":["beauty","exception"]}
Lithland {"n":["Lithuania"]}
threap {"v":["berate","blame","chastize","rebuke","reprove"],"n":["cheat"]}
deep throat {"n":["informant"]}
forreder {"n":["betrayer","traitor"]}
twi- {"x":["bi-"]}
blackdust {"n":["gunpowder"]}
wite {"v":["blame","reprove"]}
furb {"a":["blemishless"],"v":["launder","purge","refurbish"]}
Bottoms {"n":["Bothnia","Gulf"]}
Bight {"n":["Bothnia, Gulf of","Gulf of Bothnia"]}
trind {"n":["bracelet","circle","disk"],"a":["round"]}
thrist {"a":["brave","courageous"]}
brewhouse {"n":["brewery"]}
stonewright {"n":["mason"]}
leafel {"n":["brochure","pamphlet"]}
seareaver {"n":["pirate"]}
streal {"n":["ray"]}
gunstone {"n":["bullet","cannonball"]}
ambight {"n":["office"],"v":["serve"]}
reevedom {"n":["council","politics"]}
muckbean {"n":["cocoa"]}
cold-hearted {"a":["callous"]}
hard-hearted {"a":["callous","incompassionate"]}
lown {"a":["calm","hushed"]}
roolie {"a":["calm","quiet"]}
beroo {"v":["calm","quieten"]}
betell {"v":["describe"]}
drylander {"n":["camel","dromadary"]}
derning {"n":["camouflage"]}
leat {"n":["canal","culvert","pipe","vein"]}
sweets {"n":["candy"]}
maneater {"n":["cannibal"]}
wheels {"n":["car"]}
lich {"n":["corpse"]}
hardon {"n":["erection"]}
skyheading {"n":["cardinal direction","compass point"]}
weatherstroke {"n":["cardinal direction","compass point"]}
weatherstreak {"n":["cardinal direction","compass point"]}
eighttoken {"n":["cardinal direction","compass point"]}
if {"n":["premise","qualification"]}
slaught gearwork {"n":["catapult","trebuchet"]}
frain {"v":["inquire","question"],"n":["question"]}
rother {"n":["vault of heaven"]}
orsake {"n":["cause","reason"]}
forewit {"n":["caution","prudence"]}
reck {"n":["caution","concern"]}
frealsing {"n":["festival"],"a":["festive"]}
frum {"n":["reason"]}
undercroft {"n":["cellar","crypt"]}
bestevened {"a":["certain","specific"]}
wisly {"r":["certainly"]}
sickerly {"r":["certainly","definitely"]}
soothness {"n":["certainty","reality"]}
wrixle {"v":["exchange"],"n":["trade"]}
selfhood {"n":["identity","personality"]}
forthlout {"v":["charge"],"a":["prone","susceptible"]}
bedehouse {"n":["charity","temple"]}
put to flight {"v":["scatter"]}
besmite {"v":["chasten","defile"]}
stoneberry {"n":["drupe"]}
chesthelm {"n":["chestplate"]}
breasthelm {"n":["chestplate"]}
hovely {"n":[],"a":["courteous","majestic"]}
choosing {"n":["choice","election"]}
timeflow {"n":["passage of time"]}
riddlewrit {"n":["cipher","code"]}
um- {"x":["about"]}
umb- {"x":["en-"]}
befalling {"n":["incident"]}
sourapple {"n":["lemon"]}
hoveliness {"n":["grace"]}
rithing {"n":["fever"]}
sheerly {"r":["clearly"]}
godsmith {"n":["clergyman","priest"]}
soul-carer {"n":["clergyman","priest"]}
heaven-reacher {"n":["clergyman","preacher","priest"]}
sin-buster {"n":["clergyman","priest"]}
sin-shifter {"n":["clergyman","priest"]}
soul-whisperer {"n":["clergyman"]}
white-choker {"n":["clergyman","priest"]}
bitterbrew {"n":["cocoa"]}
hoardvat {"n":["coffer"]}
weenness {"n":["coherence","consistency"]}
bysleep {"n":["sex"]}
vb {"n":["collapse","court","lodge","roll"],"v":["double","exercise","practice","temper"]}
samming {"n":["group"]}
spread through {"v":["pervade"]}
farb {"n":["color","paint"]}
forbinding {"n":["combination"]}
eatworthy {"a":["edible"]}
strealer {"n":["meteor"]}
hight {"n":["command"],"v":["command","employ","enact"]}
hest {"n":["command"]}
befeal {"v":["command","order"],"n":["order"]}
chapstow {"n":["market"]}
betake {"v":["resort"]}
athee {"v":["commit","perform"]}
broad-brush {"a":["common","generic"]}
wunly {"a":["common","normal"]}
make known {"v":["impart"]}
oversend {"v":["transmit"]}
outthrutch {"v":["express"]}
outsend {"v":["emit"]}
outspeak {"v":["pronounce"]}
speakle {"a":["communicative","loquacious"]}
ameanship {"n":["community"]}
allownership {"n":["socialism"]}
folkship {"n":["community","nation","society"]}
withput {"v":["compare"]}
withlay {"v":["compare"]}
akind {"a":["similar"],"n":["nature"]}
samekind {"a":["comparable","similar"],"n":[]}
milts {"n":["compassion","favor"]}
fordrive {"v":["compel","expel"]}
thring {"v":["compel","force","press"]}
bote {"n":["compensation","fine","penance","remedy"]}
froover {"n":["consolation"]}
match up {"v":["compete","correspond"]}
flat-out {"a":["complete","perfect"]}
suchness {"n":["quality"]}
toward {"a":["compliant"],"p":["concerning"],"i":["concerning"]}
bowsome {"a":["compliant","flexible","obedient"]}
swinsmith {"n":["composer","musician"]}
swincraft {"n":["music"]}
all-in {"a":["comprehensive","universal"]}
as for {"p":["concerning"],"i":["regarding"]}
mindseye {"n":["idea"]}
bilth {"n":["image","portrait"]}
hoad {"n":["rank"]}
warding {"n":["custody","direction"]}
beload {"v":["conduct","excuse"]}
richesband {"n":["confederacy","confederation"]}
richship {"n":["confederacy"]}
loosebind {"n":["confederacy"]}
acknowledging {"n":["credit"]}
aread {"v":["conjecture","determine"]}
beswear {"v":["summon"]}
behallow {"v":["hallow"]}
bename {"v":["entitle"]}
offleading {"n":["result"]}
hye {"v":["consider","serve"],"n":["disposition"]}
yondthink {"v":["consider","contemplate"]}
simble {"a":["constant","continuous"],"n":["feast"]}
bestandy {"a":["constant","resistant"]}
bestanding {"a":["constant","existent","resistant"]}
rine {"v":["touch"]}
today's {"a":["current","present"]}
tidely {"a":["tidal"],"r":["recently"]}
witherwin {"n":["contest","rival"]}
forthset {"v":["present","publish"],"a":["continuous"],"n":["display"]}
handfast {"n":["contract","marriage"]}
withsay {"v":["contradict","deny"]}
undershed {"n":[],"v":["differ","distinguish"],"a":[]}
abear {"v":["endure"]}
forwandle {"v":["turn into"]}
haftling {"n":["prisoner"]}
holt {"n":["copse","forest"]}
rib-cloth {"n":["corduroy"]}
likam {"n":["corpse"]}
righten {"v":["correct","rectify"]}
berighten {"v":["correct"]}
righting {"n":["correction","fix"]}
begnaw {"v":["erode"]}
with- {"x":["counter-","re-"]}
openware {"n":["counterfeit goods"]}
witherdeal {"n":["opposite"]}
erd {"n":["country","county"]}
folksmoot {"n":["county council","assembly"]}
erning {"n":["course"]}
shrithe {"n":["dance"],"v":["move","proceed"]}
sweer {"n":["cousin"],"a":["difficult","oppressive"],"v":["oppress"]}
heling {"n":["cover"]}
feathers {"n":["plumage"]}
nithing {"n":["coward","villain"]}
thewless {"a":["cowardly","timid"]}
forthshaft {"n":["future"]}
lawbreaking {"n":["crime","infringement"]}
shild {"n":["fault"]}
overgang {"n":["crossing","transition"]}
onrooding {"n":["crucifixion"]}
gallowing {"n":["crucifixion"]}
thesterlock {"n":["crypt","tomb"]}
hurst {"n":["eminence"]}
earthapple {"n":["potato"]}
folkways {"n":["tradition"]}
nowaday {"a":["current","present"]}
now's {"a":["current","present"]}
nowadays' {"a":["current","present"]}
nowen {"a":["present"]}
wone {"n":["habit"],"v":["reside"]}
wonely {"a":["unusual"]}
tetter {"n":["cutaneous disease","disease, skin"]}
life tale {"n":["history"]}
forspill {"v":["damage","ravage"]}
shend {"v":["damage","defame","destroy","disgrace","offend"]}
plightful {"a":["dangerous","hazardous"]}
her {"n":["they/them/their"]}
leavings {"n":["debris","remainder","remains","residue"]}
spilth {"n":["refuse"]}
forlead {"v":["entice","tempt"]}
thewly {"a":["decent","servile"]}
quethe {"v":["declare","quote"]}
besheer {"v":["declare"]}
set by {"v":["dedicate","devote"]}
befile {"v":["defile"]}
besye {"v":["defeat","vanquish"]}
asprungness {"n":["defect","eclipse"]}
helmstand {"v":["defend","enforce"]}
lewing {"n":["defense","protection"]}
misshape {"v":["deform","disfigure","distort"]}
thrawn {"a":["deformed","perverse"]}
forbidly {"a":["dissuasive"]}
unwater {"v":["dehydrate","desiccate"]}
beaten down {"a":["dejected","depressed","subdued"]}
frist {"n":["term"],"v":["delay"]}
unmark {"v":["erase"]}
itheness {"n":["delight","pleasure"]}
mear {"v":["delimit","honor"],"n":["frontier"]}
misbelief {"n":["delusion","illusion"]}
folkswield {"n":["democracy","populism"]}
folksreevedom {"n":["democracy"]}
afaring {"n":["departure","experience"]}
come from {"v":["originate"]}
bewrite {"v":["describe","report"]}
bewriting {"n":["description","report"]}
dryland {"n":["desert","wasteland"]}
weening {"a":["desirous"],"n":["expectation","opinion"]}
unbeheld {"a":["secret"]}
forthought {"n":["suspicion"]}
forhow {"v":["neglect"]}
toshend {"v":["destroy","devastate"]}
acknow {"v":["recognize"]}
forblowing {"n":["development","evolution","prosperity"],"a":["evolutionary","progressive"]}
wigh {"v":["devote"],"n":["wick/wich"]}
down-the-line {"a":["faithful","loyal"]}
landspeech {"n":["language"]}
dighter {"n":["poet"]}
farer {"n":["visitor"]}
onewield {"n":["dictatorship"]}
sundriness {"n":["difference","variation"]}
sunderly {"r":["differently","particularly"],"a":["special","unique"]}
beshedding {"n":["segregation"]}
uneath {"a":["difficult","uneasy"]}
OE {"n":["moment"]}
rearding {"n":["discourse"]}
dreadask {"n":["dinosaur","Tyrannosaurus rex"]}
beward {"v":["secure"]}
wending {"n":["direction","modification","transition"],"a":["irregular"]}
behindering {"n":["obstacle"]}
swind {"v":["vanish"]}
forfly {"v":["disappear","evaporate"]}
ill-hap {"n":["disaster","tragedy"]}
unhold {"v":[],"a":[]}
wordling {"n":["discourse","human"]}
unmesh {"v":["unveil"]}
unearthing {"n":["excavation"]}
cothe {"n":["disease","malady"]}
ewishness {"n":["disgrace","obscenity"]}
ewish {"n":["disgrace","dishonor","offence"],"a":["disgraced"]}
unhearsome {"a":["disobedient","recalcitrant"]}
unsided {"a":["neutral"],"n":["objective"]}
forthsend {"v":["dispatch","emit"]}
forheed {"v":["disregard","neglect"]}
sundering {"n":["division","fence"]}
dreve {"v":["disturb","vex"]}
cleaving {"n":["division","secession"]}
lorespell {"n":["homily"]}
mereswine {"n":["dolphin","porpoise"]}
rix {"v":["reign","rule"]}
lib {"n":["potion"]}
frainworthy {"a":["dubious","objectionable","questionable"]}
foranswering {"n":["duty","responsibility"]}
goey {"n":["enterprise"],"a":["vigorous"]}
earspeaker {"n":["earphone","headphone"]}
eath {"n":["ease"],"a":["easy"]}
onefold {"a":["simple"]}
rosewater {"n":["eau de cologne","eau de parfum","eau de toilette"]}
ilmwater {"n":["perfume"]}
sunderling {"n":["orphan"]}
bework {"v":["edit","fabricate"]}
raking {"n":["research"]}
-ling {"x":["-ee","-let"]}
swink {"n":["labor"],"v":["labor"]}
forechoose {"v":["elect","predetermine","prefer"]}
lightbit {"n":["electron"]}
aheave {"v":["elevate"],"a":["erect"]}
speechcraft {"n":["elocution","rhetoric"]}
inbody {"v":["embody"]}
in- {"x":["in-"]}
be- {"x":["en-"]}
belaw {"v":["enact","legalize"]}
enring {"v":["surround"]}
inring {"v":["encircle","surround"]}
umbgo {"v":["enclose","encompass"]}
overset {"v":["encode","translate"]}
deal with {"v":["manage","use"]}
alne {"v":["encourage"],"n":["endurance","energy","juice"],"a":["vigorous","vital"]}
beborough {"v":["encourage","urbanize"]}
put up with {"v":["endure","tolerate"]}
beans {"n":["iota"]}
brooking {"n":["function"]}
greaten {"v":["enlarge","expand","increase"]}
biggen {"v":["enlarge","increase"]}
fiendship {"n":["enmity","hostility"]}
high and mighty {"a":["supercilious"]}
innard {"n":["entrail","organ"]}
ingang {"n":["entrance","entry"]}
way in {"n":["entrance","entry"]}
greenmonger {"n":["grocer","vegetarian"]}
sond {"n":["envoy","message"]}
ondy {"v":["envy"],"a":["jealous"]}
afterword {"n":["epilog"]}
aftertale {"n":["epilog"]}
graith {"v":["equip","prepare"],"n":["equipment"]}
naughten {"v":["eradicate","nullify"]}
wild-witted {"a":["erratic","irascible"]}
wist {"n":["essence","nature"]}
all but {"r":["essentially","virtually"]}
beground {"v":["establish","justify"]}
begrounded {"a":["established","justified"]}
worthen {"v":["esteem","value"]}
shat {"v":["estimate"],"n":["money","treasure"]}
and others {"x":["et cetera"]}
kindlewood {"n":["match"]}
endly {"r":["eventually","finally"]}
couthly {"a":["intimate"]}
eftminding {"n":["memory","reminder"]}
fore- {"x":["before"]}
ere- {"n":["origin","source"],"a":["original"],"r":["originally"],"v":["originate"]}
underseek {"v":["examine","investigate"],"n":["research"]}
delving {"n":["excavation","research"]}
ackle {"a":["scared","terrified"]}
forelay {"n":["exemplar","pattern","template"],"v":["present"]}
ove {"v":["exercise","practice"]}
oving {"v":["exercise","practice"]}
groundly {"a":["terrestrial"],"r":["profoundly"]}
bestand {"v":["exist"]}
braid out {"v":["expand","extend"]}
watch for {"v":["expect","guard"]}
unthrifty {"a":["extravagant"]}
frood {"a":["experienced","mature"]}
forseek {"v":["try"]}
fieldknower {"n":["expert"]}
atelling {"n":["story"]}
uttering {"n":["expression"]}
far-reaching {"a":["extensive","important"]}
wonder-tale {"n":["fable","legend"]}
top-shelf {"a":["fabulous","terrific"]}
liefful {"a":["faithful"]}
lise {"n":["fame","reputation"]}
kneeris {"n":["generation"]}
fangle {"v":["fashion","invent"],"n":["fashion"]}
crowd-pleasing {"a":["favorite"]}
hamstrung {"a":["feckless","ineffective"]}
man-hater {"n":["misandrist"]}
rith {"n":["rivulet","tributary"]}
forloved {"n":["fiancé","fiancée"]}
rethe {"a":["fierce"],"n":["reason"]}
back-friend {"n":["pretend friend"]}
dwimmer {"n":["figment","illusion","magic","sorcery"]}
four-star {"n":["quality"]}
fulcome {"v":["finish","perfect"]}
smatch {"n":["trace"],"v":["taste"]}
witlessness {"n":["folly"]}
meathead {"n":["fool","idiot"]}
outland {"n":["foreign country"]}
fremdling {"n":["foreigner","stranger"]}
fremder {"n":["foreigner","stranger"]}
frith {"n":["forest","peace","safety","secession","tranquility"],"v":["protect"]}
wortbreath {"n":["fragrance"]}
ovet {"n":["fruit"]}
flightling {"n":["fugitive","refugee"]}
swamb {"n":["sponge"]}
fremeless {"a":["futile","unprofitable"]}
crafthall {"n":["gallery"]}
talksome {"a":["talkative"]}
dolk {"n":["gash"]}
wemming {"a":["gay","homosexual"]}
arkenstone {"n":["gem"]}
give rise to {"v":["generate","induce"]}
givel {"a":["generous","liberal"]}
bearingly {"a":["gestational"]}
athelman {"n":["gentleman"]}
shrithing {"n":["gesture","motion","movement"]}
entish {"a":["gigantic","large"]}
wuldersome {"a":["glorious","sensational"]}
thrymfast {"a":["glorious","majestic"],"n":["illustrious"]}
sinewsweet {"n":["glycogeen"]}
ledeward {"n":["government","parliament"]}
eldfather {"n":["grandfather","patriarch"]}
great-eam {"n":["granduncle"]}
eldeam {"n":["granduncle"]}
eldfatherbrother {"n":["granduncle"]}
eldmotherbrother {"n":["granduncle"]}
queme {"a":["grateful"],"v":["please","satisfy"]}
bewatch {"v":["guard"]}
thorpe {"n":["hamlet","settlement","village"]}
thorp {"n":["hamlet","settlement","village"]}
dorp {"n":["hamlet","village"]}
whistle-stop {"n":["hamlet","settlement"]}
hemling {"n":["hamlet","settlement","village"]}
erf {"n":["heritage"]}
half- {"x":["hemi-","semi-"]}
sam- {"x":["semi-"]}
sand- {"x":["semi"]}
some- {"x":["semi-"]}
halfring {"n":["semicircle"]}
samring {"n":["semicircle"]}
halfball {"n":["hemisphere"]}
croud {"n":["herb","spice"]}
doughtiness {"n":["heroism","nerve","virtue"]}
andlover {"a":["heteroromantic","heterosexual"]}
sameh {"n":["homophobia","homosexuality"],"a":["homosexual"]}
samelover {"a":["homosexual"]}
samekindlover {"a":["homosexual"]}
loveknave {"a":["homosexual"]}
lutter {"a":["pure"]}
afear {"v":["terrify"]}
foesome {"a":["hostile"]}
fiendly {"a":["hostile"]}
fiendishness {"n":["hostility","sadism"]}
stour {"a":["huge","large"]}
mennishly {"a":["human","personal"]}
lightmote {"n":["photon"]}
bewrayer {"n":["traitor"]}
howe {"n":["plan","project"],"v":["plan"]}
dwease {"n":["idiot"],"a":["stupid"]}
-ledge {"x":["-ify","-ize"]}
will-o-the-wisp {"n":["ignis fatuus","Jack o'Lantern"]}
tind {"v":["kindle"]}
unwit {"n":["ignorance","nonsense"]}
infinding {"a":["innovative"]}
right now {"r":["immediately","instantly"]}
incomer {"n":["immigrant"]}
formiddle {"v":["mediate"]}
hinderness {"n":["hindrance"]}
ill-thewed {"a":["impertinent","impolite"]}
aileat {"n":["importunity"]}
onget {"v":["perceive","recognize"],"n":["perception"]}
forbetter {"v":["improve"]}
unbeseeming {"a":["unsuitable"]}
self-standing {"a":["independent","sovereign"],"n":["secession"]}
betokening {"n":["indication","manifestation"]}
inlandish {"a":["native"]}
onelepy {"a":["individual","private"],"n":["individual"]}
draw on {"v":["induce","produce"]}
