WORD,ANG. SPEL.,MEANING,KIND,FOREBEAR,FROM,NOTES,TAGS
aghast,agast,᛫ horrified ᛫ shocked ᛫,AJ,~,NE,,
agin,,᛫ to commence ᛫,V,aginnen[onginnan],ME,in this word g = /g/ not /j/,
ago,,᛫ to proceed ᛫ to pass ( to go by ) ᛫ to pass away ᛫ to die ᛫ to elapse ᛫ to come to pass ᛫ to travel ᛫ to move ᛫ to depart ᛫,V,agōn[āgān]&igōn[gegān],ME&ME,PST: awent ᛫ PTCP: agone,
agone,,᛫ past ᛫,AJ,agōn[āgān],ME,,
agraith,agragð,᛫ to make ready ᛫ prepare ᛫ to dress a wound ᛫ to adorn ᛫ to embellish ᛫,V,agraithen,ME‹N,,
agraithing,agragðing,᛫ embellishment ᛫ ornament ᛫,N,agraithing,ME‹N,,
ahap,,᛫ fitting ᛫ suitable ᛫,AJ,gehæp,OE,,
aheave,aheaf,᛫ to heave up ᛫ to raise ᛫ to erect ᛫ to elevate ᛫ to exalt ᛫,V,ahebben,ME,,
ahir,,᛫ to imitate ᛫ to emulate ᛫ to simulate ᛫,V,onhyrian,OE,,
ahirring,,᛫ imitation ᛫ emulation ᛫ simulation ᛫,N,onhyringe,OE,,
ail,agl,᛫ ailment ᛭ to make suffer ᛫ to trouble ᛫ to pain ᛭ troublesome ᛫ painful ᛫,N᛭V᛭AJ,~[egle][eglan],NE,,
airt,agert,᛫ a direction ᛫ a guidance ᛭ to direct ᛫ to guide ᛫,N᛭V,airt[aird],NE‹ME‹C,,[CED]
ait,agt,᛫ a small island in a river ᛫ an eyot ᛫ an islet ᛫,N,~,NE,,
akin,,᛫ related ᛫,AJ,~,NE,,
alack,,᛫ alas ! ᛫,I,~,NE,,
albeit,,᛫ though ᛫,C,~,NE,,
Albert Mere,,᛫ Lake Albert ᛫,N(P),Albert+mere,NE×2,,
alder,,᛫ a parent ᛫ an ancestor ᛫ an elder ᛫ a chief ᛫ a leader ᛫ a ruler ᛫,N,alder,ME,,
alderbishop,alderbiscop,᛫ an archbishop ᛫,N,ealdorbiscop,OE‹(E+H),,
alderborough,alderboroug,᛫ a metropolis ᛫,N,ealdorburh,OE,,
alderdeemer,,᛫ a supreme court judge ᛫,N,aldordēma,OE,,
alderdom,,᛫ authority ᛫ eldership ᛫ magistracy ᛫ principality ᛫,N,ealdordōm,OE,,
alderman,,᛫ an elected member of a city council ᛫ a baillie ᛫,N,~,NE,,
aleater,,᛫ an omnivore ᛫,N,all+eater,NE×2,inspired by: Allesfresser,
alee,,᛫ on the lee side of a ship ᛫,AV,~,NE,,
aleese,alees,᛫ to save ᛫ to deliver ᛫ to redeem ᛫,V,alese,ME,,[OED]
aleesedness,,᛫ salvation ᛫ deliverance ᛫ redemption ᛫,N,alẹ̄sednesse[ālīsedness],ME,,
alehouse,alehuse,᛫ a bar ᛫ a tavern ᛫ a pub ( public house ) ᛫,N,~,NE,,
aleknight,aleknigt,᛫ a man who drinks alcohol ᛫,N,~,NE,,
alewife,aleƿife,᛫ a woman who keeps an alehouse ᛫,N,~,NE,,
alfather,alfaðer,᛫ an epithet used for a head god ᛫,N,~,NE,,
alight,aligt,᛫ to descend ᛫ to exit ᛫ to dismount ᛫ to disembark ᛫,V,~,NE,,
alighten,aligten,᛫ enlighten ᛫ illuminate ᛫,V,ālīhtan,OE,,
alike,,᛫ similar ᛭ similarly ᛫,AJ᛭AV,~,NE,,
alkin,,᛫ of every kind ᛫ universal ᛫,AJ,~[eallcyn],NE,,
alknowing,alknoƿing,᛫ omniscient ᛫,AJ,~,NE,,
alknowingness,alknoƿingness,᛫ omniscience ᛫,N,~,NE,,
all,,᛫ omni- ᛫,PREFIX,~,NE,,
all,,᛫ entirely ᛫ totally ᛫ completely ᛫,AV,~,NE,,
all told,,᛫ in total ᛫,P,~,NE,,
allay,alag,᛫ to calm down ᛫ to lull ᛫ to pacify ᛫ to alleviate ᛫ to abate ᛫ to mitigate ᛫ to subside ᛫,V,~,NE,,
allings,,᛫ entirely ᛫ sufficiently ᛫,AV,allinges,ME,,
allness,,᛫ totality ᛫ universality ᛫,N,~,NE,,
allot,alot,᛫ to appoint ᛫ to assign ᛫,V,ileoten/iloten[gehlēotan],ME,,
allow,alloƿ,᛫ aloe ᛫,N,alewe/alwe,OE‹‹O,"rhyme: hallow ᛫ ""aloe"" is French",
allow,alloƿ,᛫ to defend ᛫,V,ealgian,OE,rhyme: hallow?,
ally,allig,᛫ of all ᛫ universal ᛫ catholic ᛫,AJ,eallic,OE,,
Almannish,Almannisc,᛫ Alemannic speech ᛭ Alemannic ᛫,N᛭AJ,all+man+ish,NE×3,calque: Alemannisch,
almight,almigt,᛫ omnipotence ᛫,N,almighty,NE,,
almighty,almigtig,᛫ omnipotent ᛫,AJ,~,NE,,
almsful,,᛫ charitable ᛫,AJ,ælmesfull,OE,,
almsman,,᛫ a taker of alms ᛫ a beggar ᛫ a giver of alms ( an almoner ) ᛫,N,~,NE‹‹OE‹(I‹H+E),,
aloft,,᛫ at to or in the air ᛫ above ᛫ up ᛫,AV,~,NE,,
aloneness,,᛫ solitude ᛫,N,~,NE,,
along of,,᛫ because of ᛫,P,~[gelang]{ilong on},NE,,
aloom,,᛫ frequently ᛫,AV,ilōme[gelōme],ME,,
alow,aloƿ,᛫ low down ᛭ below ᛫,AV᛭P,~,NE,rhyme: a toe,
alse,als,᛫ totally ᛫ entirely ᛫,AV,alles,ME,analogy: elles to else ᛫ rhyme: false,
alseeing,,᛫ omnipercipient ᛫,AJ,allseeing,NE,,
alsuch,alsuc,᛫ exactly ᛫ just ᛫ exactly as ᛫ just as ᛫,AV,alswich,ME,,
altew,alteƿ,᛫ sound ᛫ healthy ᛫,AJ,æltæw/ealteaw,OE,,
altheedish,alþeedisc,᛫ international ᛫,AJ,all+theedish,NE×2,based on: alþjóðlegur,
alther,alðer,"᛫ ( modifies an adjective's superlative form in a way similar to the "" very "" in "" very best "" ) ᛫",PREFIX,alther,ME,"or: alder, aller",
altogether,altogeðer,᛫ completely ᛫ totally ᛫ in total ᛫ in general ᛫ for the most part ᛫ overall ᛫,AV,altogether,NE,,
alway,alƿag,᛫ perpetually ᛫ continually ᛫,AV,~[ealneg],OE,or: always,
alwhere,alhƿere,᛫ everywhere ᛫,AV,~,NE,,[MW]
amain,amagn,᛫ with all one's might ᛫ with full speed ᛫ in great haste ᛫ to a high degree ᛫,AV,~,NE,,
amaze,amase,᛫ to astonish ᛫,V,~,NE,,
amazedness,amasedness,᛫ amazement ᛫,N,~,NE,,
amber,,᛫ a bucket ᛫,N,ambre[amphora?],ME‹OE‹I,,
amid,,᛫ during ᛭ in the middle of ᛫,AV᛭P,~,NE,,
amind,,᛫ memory ᛫ a memory ᛫ a recollection ᛫,N,imīnde[gemynd],ME,,
amiss,,᛫ faulty ᛫ out of order ᛫ wrong ᛭ wrongly ᛫ astray ᛫,AJ᛭AV,~,NE,,
anclee,,᛫ an ankle ᛫,N,~,ME,"un-Norse form of ""ankle""",
and,,᛫ an ampersand ( & or ⁊ ) ᛫,N,and,ME,or: andstaff,
and,,᛫ ( denotes return action ) ᛫,PREFIX,and/an,ME,the D gets dropped when convenient,
and so forth,forð,᛫ et cetera ᛫,N,~,NE,abbreviation: asf,
andestone,,᛫ andesite ᛫,N,Andes+stone,NE‹I+NE,calque: andesite,
andet,,᛫ to confess ᛫,V,andettan,OE,,
andetter,,᛫ a confessor ᛫,N,andettere,OE,,
andeven,andefen,᛫ a quality ᛫ a quantity ᛫ an extent ᛫ a capacity ᛫ an amount ᛫ a proportion ᛫,N,andefn,OE,,
anent,,᛫ concerning ᛫,P,~,NE,"consider using ""about"" instead",[MW]
anew,aneƿ,᛫ to restore to an original state ᛫,V,ineuen,ME,,
ang,,᛫ vexation ᛫ trouble ᛭ vexed ᛫ troubled ᛫,N᛭AJ,ā̆nge[ange],ME,,
ang,,᛫ ( denotes tightness and vexation ) ᛫,PREFIX,ang,OE,,
angbreast,,᛫ a tight vexation of the breast ᛫ asthma ᛫,N,angbreost,OE,,
angmood,,᛫ anxiety ᛫ a vexed mood ᛫,N,angmod,OE,,
angness,,᛫ anxiety ᛫ distress ᛫,N,angnes,OE,,
angsome,andsum,᛫ troublesome ᛫,AJ,angsum,OE,,
anker,,᛫ an anchorite ᛫ an anchoret ᛫,N,āncor,OE‹I‹H,,
ankerman,,᛫ an anchorman ᛫,N,āncor+man,OE‹I+NE,,
anklebone,ankelbone,᛫ a tarsal ᛫,N,~,NE‹(N+E),or: ancleebone,
anlet,,᛫ a face ᛫ an appearance ᛫,N,anlē̆t[andwlita/andwlite],ME,,
anletbone,,᛫ a facial bone ᛫,N,anlet+bone,ME+NE,,
anlikeness,,᛫ an image ᛫ a figure ᛫ resemblance ᛫ a model ᛫,N,anlīcnes,OE,,
anneal,aneal,᛫ to ignite ᛫ to inflame ᛫ to incite ᛫ to temper through heating ᛫,V,anneal&onǣlan,NE&OE,,
anon,,᛫ instantly ᛫ immediately ᛫,AV,~[anōn][on ān],NE,rhyme: a swan,
anothergates,anoðergates,᛫ a different kind of ᛫,AJ,~,NE,"""gate"" here means ""way""",
anqueath,ancƿeað,᛫ a response ᛫ an answer ᛫ a reply ᛭ to respond ᛫ to answer ᛫ to reply ᛫,N᛭V,oncweþan,OE,,
ansaker,,᛫ a denier ᛫ a renouncer ᛫ an apostate ᛫ an opposer ᛫,N,andsaca,OE,,
ansen,,᛫ a face ᛫ a countenance ᛫ an aspect ᛫ a form ᛫ a figure ᛫ an appearance ᛫,N,ansẹ̄ne[ansȳn],ME,,
ansenstone,,᛫ a fossil ᛫,N,ansẹ̄ne+stone,ME+NE,calque: steingervingur,
antem,,᛫ an anthem ᛫,N,antē̆me[antefen],ME‹OE‹I‹H,anthem' is pseudo-classical alteration,
antimber,,᛫ matter ( mass noun ) ᛫ material ( mass noun ) ᛫ substance ( mass noun ) ᛫ a theme ? ᛫ a topic ? ᛫ a subject ? ᛫,N,antimber&andtimber,ME&OE,,
anvil,anfel,᛫ an incus ( bone ) ᛫,N,~,NE,,
anward,anƿard,᛫ present ᛫ current ᛫ contemporary ᛫ in one's presence ᛫,AJ,andweard,OE,,
anward tide,anƿard,᛫ the present tense ᛭ of the present tense ᛫,N᛭AJ,andwerd tīd,OE,,
anwarden,anƿarden,᛫ to make present ᛫ to update ᛫ to modernize ᛫,V,andward+en,OE+NE,,
anwardening,anƿardening,᛫ an update ᛫ modernization ᛫,N,andward+en+ing,OE+NE×2,,
anword,anƿord,᛫ an answer ᛭ to answer ᛫,V,andwurden&andwyrde,ME&OE,,
anwork,anƿork,᛫ matter ᛫ material ᛫ substance ᛫,N,andwork,ME,,
anyet,anget,᛫ perception ᛫ sensation ᛫ understanding ᛫ a sense ( such as sight ) ᛫ an explanation ᛫ sense ( as in make sense ) ᛫,N,andȝet&andgit,ME&OE,or: anget (Norse),
anyetful,andgetful,᛫ sensible ᛫ intelligible ᛫,AJ,andgitfull ,OE,,
anyetfully,angetfullig,᛫ sensibly ᛫ intelligibly ᛫,AV,andgitfullīce,OE,,
anyetless,angetless,"᛫ senseless ( as in lacking sensation ) ᛫ senseless ( as in irrational , nonsensical , or foolish ) ᛫",AJ,andgitlēas,OE,,
anyettle,angettel,᛫ intelligent ᛫ sensible ᛫ discerning ᛫,AJ,andgitol/andgyttol,OE,,
anyetty,angettig,᛫ sensational ( as in sensory ) ᛫ sensible ᛫,AJ,andȝet+y{andgitlic},ME+NE,,
anywise,anigƿise,᛫ in any way or manner ᛫,AV,~,NE,,
ape,,᛫ a Hominoid animal ( an ape ) ᛫ a Simian animal ( a monkey ) ᛭ to imitate ᛫,N᛭V,ape&āpe[apa],NE&ME,ape had a wider meaning in Middle English,
apebear,,᛫ a koala ᛫,N,ape+bear,ANE+NE,calque: monkey-bear,
apebreadtree,,᛫ a baobab ᛫,N,ape+bread+tree,NE×3,calque: monkeybread tree ᛫ note: apenbroodboom,
apefox,,"᛫ a Didelphimorphia animal ( a possum , an opossum ) ᛫",N,ape-foxe,ANE,[OED] ᛫ poorly attested,
apely,apelig,᛫ simian ᛫,AJ,~,NE,,
aper,,᛫ a copycat ᛫ an imitator ᛫,N,~,NE,,
appleleaf,appelleaf,᛫ a Viola plant ( a violet ) ᛫,N,appelleaf,ME,[OED],
applewine,appelƿine,᛫ apple cider ᛫,N,æppelwīn,OE,,
aquine,acƿine,᛫ to dwindle away ? ᛫,V,acwīnan,OE,,
Araby,Arabi,᛫ Arabia ᛫,N(P),Arabī[Arabia],ME‹OE‹O,,
arade,,᛫ instructed ᛫ skilled ᛫ expert ᛫ educated ᛫,AJ,irade[gerād],ME,,
aread,,᛫ to guess ᛫ to conjecture ᛫ to form or render an opinion ᛫ to estimate ᛫ to interpret ᛫,V,aread&arēden[ārǣdan],NE&ME,[MW],
areading,,᛫ an ordinance ᛫ a decree ᛫,N,gerǣdnes,OE,,
argh,arg,᛫ timid ᛫ cowardly ᛫ pusillanimous ᛫,AJ,argh/arow[earg],ME,[OED] ᛫ rhyme: scarf ᛫ or: arf; arch (Scots),
arghness,argness,᛫ cowardice ᛫,N,arghnes,ME,or: arfness,
arise,,᛫ to emerge ᛫ to become apparent ᛫ to come into being ᛫,V,~,NE,,
arisen,,᛫ proper ᛫ fitting ᛫ seemly ᛫,AJ,gerisene,OE,,
arist,,᛫ an arising ᛫ the rising of the sun ᛫,N,arist,ME,,
arkenstone,,᛫ a precious stone ᛫ a jewel ᛫,N,eorcanstān,OE,kin: Eorconbeorht,
arm,,᛫ poor ᛫ unwealthy ᛫ pitiful ᛫ indigent ᛫,AJ,arm[earm],ME,,
armbigh,armbige,᛫ a bracelet for wearing on an arm ᛫ an armlet ᛫,N,earmbēah,OE,,
armbone,,᛫ a humerus ᛫,N,~,NE,,
armchary,armcarig,᛫ sad ᛫ miserable ᛫,AJ,earmcearig,OE,,
Armeny,Armeni,᛫ Armenia ᛫,N(P),armenīe/armany/armonye,ME,"or: Hayastan ᛫ should rhyme with ""harmony""?",
arming,,᛫ a poor creature ᛫ a wretch ᛫,N,erming,ME,,
armth,armð,᛫ poverty ᛫,N,ermthe/armþe,ME,,
arose,,᛫ to lay open ᛫ to discover ᛫ to try ( to put to a test ) ᛫,V,arāsian,OE,,
arown,arune,᛫ a mystery ᛫ a sacrament ᛫ mysterium ᛫,N,gerȳne,OE,,
arrowblaster,arroƿblaster,"᛫ an arbalest ( an arbalist , an arbelest ) ",N,arowblaster{arbalest},ME,eggcorn term ᛫ or: arrowblast,
arrowmaker,arroƿmaker,᛫ a fletcher ᛫,N,~,NE,[OED],
arse,,᛫ a derrière ᛫ a posterior ᛫,N,~,NE,or: ass,
arsefoot,,᛫ a Podicipedidae bird ( a grebe ) ᛫,N,~,NE,,
arseling,,᛫ backwards ᛫,AV,~,NE,,
arsetril,,᛫ an anus ᛫,N,earsþerl,OE,,
arveth,arfeð,᛫ tribulation ᛫ affliction ᛫ trouble ᛫ labour ᛫ labour ( of pregnancy ) ᛫ toil ᛭ difficult ᛫ ,N᛭AJ,arveþ&earfoþe,ME&OE,,
arveth,arfeð,᛫ ( denotes difficulty and toil ) ᛫,PREFIX,earfoþ,OE,,
arvethhield,arfeðhield,᛫ ill-inclined ᛫ ill-natured ᛫,AJ,earfoþhylde,OE,,
arvethly,arfeðlig,᛫ with difficulty ᛫,AJ,arveþlīch,ME,,
arvethness,arfeðness,᛫ toil ᛫ hardship ᛫,N,earfoþnes,OE,,
arvethright,arfeðrigt,᛫ hard to correct ᛫,AJ,earfoþrihte,OE,,
arvethrow,arfeðþroƿ,᛫ a difficult time ᛫ a time of tribulation ᛫,N,earfoþþrāg,OE,,
arvethsithe,arfeðsiðe,᛫ a laborious journey ᛫ misfortune ᛫ calamity ᛫,N,earfoþsīþ,OE,,
arvethteachy,arfeðteacig,᛫ difficult to show ᛫ difficult to prove ᛫,AJ,earfoþtǣcne,OE,,
as an aside,,᛫ in passing ᛫ en passant ᛫,PHRASE,~,NE×3,,
asake,,᛫ to refuse to acknowledge a charge ᛫ to deny ᛫,V,onsacan,OE,PST: asook ᛫ PTCP: asaken,
aseen,,᛫ evident ᛫ visible ᛫ apparent ᛫,AJ,isẹ̄n,ME,,
aset,,᛫ to appoint ᛫,V,aset,ME,,
Asey,Asi,᛫ Asia ᛫,N(P),Assye [Asia],ME‹O,rhyme: crazy,
ash,asc,᛫ ash ᛭ to turn to ash ᛫ to incinerate ᛫ to cremate ᛫,N᛭V,~,NE,,
ashen,ascen,᛫ made from the ash tree ᛫ of or resembling ashes ᛫ pale ᛫,AJ,~,NE,,
asher,ascer,᛫ an incinerator ᛫ a cremator ᛫ a crematory furnace ᛫ a cremation chamber ᛫,N,ash+er,NE+NE,,
ashes,asces,᛫ cremains ᛫,N,~,NE,[OED],
ashgrey,ascgreg,᛫ cinereous ᛫,AJ,ash+grey,NE×2,invented by William Barnes,
ashhouse,aschuse,᛫ a crematorium ᛫ a crematory ᛫,N,ash+house,NE+NE,or: ashinghouse?,
ashing,ascing,᛫ incineration ᛫ cremation ᛫,N,ash+ing,NE+NE,,
ashpan,ascpan,᛫ an ashtray ᛫,N,ash-pan,NE,[OED],
aside,,᛫ a digression ᛫,N,~,NE,,
asit,,᛫ to oppress ᛫ to occupy ᛫,V,asitten&onsittan,ME&OE,PST: asat,
asithe,asiðe,᛫ a comrade ᛫,N,gesīþ,OE,,
ask,,᛫ a lizard ᛫,N,~,NE,,
ask,,᛫ a question ᛫ an inquiry ᛫ a request ᛭ to request ᛫ to inquire ᛫,N᛭V,~,NE,,
askeel,,᛫ a Halosauridae fish ( a halosaur ) ᛫,N,ask+eel,NE×2,calque: Echsenaale,
asker,,᛫ a plaintiff ᛫ a prosecutor ᛫ a claimant ᛫,N,askere,ME,[OED],
asking,,᛫ questioning ᛫ inquiry ᛫ querying ᛫ petitioning ᛫ requesting ᛫ petition ᛫,N,asking&asking,NE&ME,,
askingly,askinglig,᛫ interrogative ( grammar ) ᛫,AJ,āsciendlīc,OE,from Ælfric's Grammar,
aslake,,᛫ to abate ᛫ to diminish ᛫ to moderate ᛫ to mitigate ᛫ to appease ᛫ to satisfy ᛫,V,~[āslacian],NE,,
asoothe,asooðe,᛫ to prove ᛫ to confirm ᛫ to verify ᛫,V,isōþien[gesōþian],OE,,
aspen,,᛫ a Populus tree [ᚹ] ᛫ a poplar ᛫ a cottonwood ᛫ an aspen ᛫,N,~,NE,,
Assyrish,Assyrisc,᛫ Assyrian ᛫,AJ(P),assyrisc,OE,,
